Audio_UMAP_X,Audio_UMAP_Y,Audio_UMAP_Z,Volume,Pitch
9.733277320861816406e+00,6.993764877319335938e+00,4.169215202331542969e+00,6.820246577262878418e-03,1.152568113900750006e+02
1.237165546417236328e+01,7.402840137481689453e+00,5.220426082611083984e+00,6.117951590567827225e-03,1.180355562558342655e+02
1.244600105285644531e+01,7.415715694427490234e+00,5.216837406158447266e+00,6.515490822494029999e-03,1.161334130817013062e+02
8.604693412780761719e+00,8.168107986450195312e+00,3.961304187774658203e+00,6.942102219909429550e-03,2.205000000000000000e+03
8.458483695983886719e+00,8.184664726257324219e+00,3.958770275115966797e+00,7.892176508903503418e-03,2.205000000000000000e+03
8.440388679504394531e+00,8.194406509399414062e+00,3.946799039840698242e+00,8.070087991654872894e-03,2.205000000000000000e+03
8.425728797912597656e+00,8.207821846008300781e+00,3.935702323913574219e+00,7.626588456332683563e-03,2.205000000000000000e+03
8.444273948669433594e+00,8.235233306884765625e+00,3.945310354232788086e+00,7.601538673043251038e-03,2.205000000000000000e+03
8.432956695556640625e+00,8.229543685913085938e+00,3.946228265762329102e+00,7.498606108129024506e-03,2.205000000000000000e+03
8.420771598815917969e+00,8.232793807983398438e+00,3.946017980575561523e+00,7.679340429604053497e-03,2.205000000000000000e+03
8.450739860534667969e+00,8.251908302307128906e+00,3.946611404418945312e+00,7.873713970184326172e-03,2.205000000000000000e+03
8.471611022949218750e+00,8.227366447448730469e+00,3.944952726364135742e+00,7.637653499841690063e-03,1.238534855965093158e+02
8.473354339599609375e+00,8.286035537719726562e+00,3.945454359054565430e+00,7.248904090374708176e-03,1.224292341569450429e+02
8.457489013671875000e+00,8.281204223632812500e+00,3.950439453125000000e+00,7.521140854805707932e-03,2.036329561106927486e+03
8.502318382263183594e+00,8.316112518310546875e+00,3.943730354309082031e+00,7.638964336365461349e-03,2.035649343093770995e+03
8.605363845825195312e+00,8.325969696044921875e+00,3.925195455551147461e+00,7.461532950401306152e-03,2.035121073046957918e+03
8.664004325866699219e+00,8.389412879943847656e+00,3.919577121734619141e+00,7.213621400296688080e-03,2.017870820789946038e+03
8.529918670654296875e+00,8.365056991577148438e+00,3.950432300567626953e+00,8.547001518309116364e-03,2.044995608934794518e+03
